Algorithm,Evaluation Metric,Dataset Condition,Rank,Distance Metric,Average Score
KNN,Recall,Size: High Rows,2,braycurtis,0.803
KNN,Recall,Size: High Rows,3,manhattan,0.8025
KNN,Recall,Size: Low Rows,1,canberra,0.8157
KNN,Recall,Size: Low Rows,2,braycurtis,0.8068
KNN,Recall,Size: Low Rows,3,manhattan,0.8036
KNN,Recall,Size: Medium Rows,1,braycurtis,0.6652
KNN,Recall,Size: Medium Rows,2,canberra,0.6643
KNN,Recall,Size: Medium Rows,3,manhattan,0.6623
SVM,Accuracy,Balanced (Low Imbalance),1,canberra,0.6938
SVM,Accuracy,Balanced (Low Imbalance),2,braycurtis,0.6895
SVM,Accuracy,Balanced (Low Imbalance),3,manhattan,0.6889
SVM,Accuracy,Features: High Columns,1,braycurtis,0.8489
SVM,Accuracy,Features: High Columns,2,manhattan,0.8483
SVM,Accuracy,Features: High Columns,3,canberra,0.8478
SVM,Accuracy,Features: Low Columns,1,canberra,0.6386
SVM,Accuracy,Features: Low Columns,2,manhattan,0.6366
SVM,Accuracy,Features: Low Columns,3,braycurtis,0.6357
SVM,Accuracy,Features: Medium Columns,1,canberra,0.7986
SVM,Accuracy,Features: Medium Columns,2,jensen_shannon,0.7978
SVM,Accuracy,Features: Medium Columns,3,manhattan,0.7888
SVM,Accuracy,Imbalanced (High Imbalance),1,canberra,0.8295
SVM,Accuracy,Imbalanced (High Imbalance),2,manhattan,0.8269
SVM,Accuracy,Imbalanced (High Imbalance),3,braycurtis,0.8259
SVM,Accuracy,Size: High Rows,1,canberra,0.7951
SVM,Accuracy,Size: High Rows,2,manhattan,0.7926
SVM,Accuracy,Size: High Rows,3,braycurtis,0.7921
SVM,Accuracy,Size: Low Rows,1,canberra,0.8133
SVM,Accuracy,Size: Low Rows,2,braycurtis,0.8109
SVM,Accuracy,Size: Low Rows,3,manhattan,0.8088
SVM,Accuracy,Size: Medium Rows,1,canberra,0.6765
SVM,Accuracy,Size: Medium Rows,2,jensen_shannon,0.6724
SVM,Accuracy,Size: Medium Rows,3,manhattan,0.6723
SVM,F1 Score,Balanced (Low Imbalance),1,canberra,0.6946
SVM,F1 Score,Balanced (Low Imbalance),2,braycurtis,0.6908
SVM,F1 Score,Balanced (Low Imbalance),3,manhattan,0.6903
SVM,F1 Score,Features: High Columns,1,braycurtis,0.8518
SVM,F1 Score,Features: High Columns,2,manhattan,0.851
SVM,F1 Score,Features: High Columns,3,canberra,0.8501
