Dataset,Category,Algorithm,Metric Type,Distance Metric,Accuracy,Precision,Recall,F1 Score,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,Adjusted Rand Index,Normalized Mutual Info
vehicle_lr_hc.csv,balanced,DBSCAN,Probabilistic,kl_divergence,,,,,0.570188377934473,4.163328452993235,6.34103606405825,0.006564340664647767,0.012045871225140984
vehicle_lr_hc.csv,balanced,KNN,Probabilistic,jensen_shannon,0.8007725516927972,0.8026889428435471,0.8007725516927972,0.8012309451204374,,,,,
vehicle_lr_hc.csv,balanced,SVM,Probabilistic,jensen_shannon,0.8511701885935015,0.873908103428508,0.8511701885935015,0.8522285069789725,,,,,
vehicle_lr_hc.csv,balanced,K-Medoids,Probabilistic,jensen_shannon,,,,,0.230489382403903,1.5732778067029833,987.522609970901,0.1210652248472615,0.13171091403354748
vehicle_lr_hc.csv,balanced,DBSCAN,Probabilistic,jensen_shannon,,,,,0.3618125173582575,0.895496112363543,20.193236924219903,0.008810274892477524,0.015554601803510516
vehicle_lr_hc.csv,balanced,KNN,Probabilistic,bhattacharyya,0.7995379837915626,0.802484916816651,0.7995379837915626,0.8002879732718136,,,,,
vehicle_lr_hc.csv,balanced,SVM,Probabilistic,bhattacharyya,0.8548511701885934,0.8788813183756771,0.8548511701885934,0.8553037796140327,,,,,
vehicle_lr_hc.csv,balanced,K-Medoids,Probabilistic,bhattacharyya,,,,,0.34357613328020936,1.2799397924211553,976.4232450298497,0.09954644584541014,0.1227871794340835
vehicle_lr_hc.csv,balanced,DBSCAN,Probabilistic,bhattacharyya,,,,,0.5426082300325722,0.895496112363543,20.193236924219903,0.008810274892477524,0.015554601803510516
vehicle_lr_hc.csv,balanced,KNN,Probabilistic,total_variation,0.8475043550708172,0.8489563146397021,0.8475043550708172,0.8474390785129835,,,,,
vehicle_lr_hc.csv,balanced,SVM,Probabilistic,total_variation,0.9077330909641749,0.9227258143451706,0.9077330909641749,0.9089655777735299,,,,,
vehicle_lr_hc.csv,balanced,K-Medoids,Probabilistic,total_variation,,,,,0.33124224627994037,0.8998502567566452,1373.9748683117139,0.10213233662737425,0.11976975985575664
vehicle_lr_hc.csv,balanced,DBSCAN,Probabilistic,total_variation,,,,,0.34155820164283324,0.895496112363543,20.193236924219903,0.008810274892477524,0.015554601803510516
contaceptive_mr_lc.csv,balanced,KNN,Geometric,euclidean,0.48678657903839506,0.4836630234763282,0.48678657903839506,0.48293040112274815,,,,,
contaceptive_mr_lc.csv,balanced,SVM,Geometric,euclidean,0.4806272339444252,0.5198967328595776,0.4806272339444252,0.48476766302128854,,,,,
contaceptive_mr_lc.csv,balanced,K-Medoids,Geometric,euclidean,,,,,0.10621759652457494,2.5879519224677683,223.972954765667,0.036294174180040634,0.03549072861016223
contaceptive_mr_lc.csv,balanced,DBSCAN,Geometric,euclidean,,,,,0.322452828849142,1.539346746035773,243.59174841458244,0.004433983957224118,0.019086961512687347
contaceptive_mr_lc.csv,balanced,KNN,Geometric,manhattan,0.48947538337368857,0.48573141063928527,0.48947538337368857,0.484855100095568,,,,,
